WORD ENTROPY DISPERSION STD CONCRETENESS
energy N/A N/A N/A 3.11
illustrations N/A N/A N/A N/A
badge N/A N/A N/A 4.93
satisfy N/A N/A N/A 2.04
explosion N/A N/A N/A 4.52
mechanic N/A N/A N/A 4.38
guardian N/A N/A N/A 3.28
makeup N/A N/A N/A 4.45
costumes N/A N/A N/A N/A
water N/A N/A N/A 5
contemplate N/A N/A N/A 1.71
entertain N/A N/A N/A 2.55
baseball 201.040086557 0.174545058627 1.0266 4.86
goldfish 198.892020378 0.149365357412 0.88899 4.79
teacher N/A N/A N/A 4.52
change N/A N/A N/A 2.89
box N/A N/A N/A 4.9
boy N/A N/A N/A 4.76
penguin 266.532953234 0.190866355323 0.94058 5
noticeable N/A N/A N/A 2.29
guilty N/A N/A N/A 2.36
grenade 269.522813015 0.195169250346 0.94009 4.9
trial N/A N/A N/A 3.07
raccoon 249.260059707 0.18343771697 0.84569 4.67
stencil N/A N/A N/A 4.83
weird N/A N/A N/A 1.59
pillow N/A N/A N/A 5
love N/A N/A N/A 2.07
radish 199.708335898 0.173520968686 0.83611 4.87
seashore 209.593527767 0.161912957851 0.70315 4.63
fbi N/A N/A N/A N/A
crisis N/A N/A N/A 2.33
market N/A N/A N/A 4.7
sledgehammer N/A N/A N/A 4.89
projector 236.632614934 0.183996229022 0.85686 4.64
prove N/A N/A N/A 1.83
angry N/A N/A N/A 2.53
dude N/A N/A N/A 3.93
sports N/A N/A N/A 3.79
live N/A N/A N/A 3.57
prey N/A N/A N/A 3.61
club N/A N/A N/A 3.78
flying N/A N/A N/A 4.1
apparent N/A N/A N/A 1.73
envelope 255.349930135 0.187949046931 0.88228 4.93
chocolate 265.969114022 0.198374517553 0.9743 4.72
downtown N/A N/A N/A 4.39
carnival N/A N/A N/A 4.68
olive N/A N/A N/A 4.9
effort N/A N/A N/A 2.33
graphic N/A N/A N/A 3.2
car 241.686035137 0.184643372883 0.7954 4.89
pretend N/A N/A N/A 2.11
flu N/A N/A N/A 3.65
soul N/A N/A N/A 1.86
cat N/A N/A N/A 4.86
soup N/A N/A N/A 4.72
can N/A N/A N/A 4.55
cab N/A N/A N/A 4.88
fauna 318.741940392 0.209841113709 1.0926 3.96
arrive N/A N/A N/A 3.22
pickle N/A N/A N/A 4.64
heart N/A N/A N/A 4.52
crazy N/A N/A N/A 2.37
figure N/A N/A N/A 3.63
predict N/A N/A N/A 2
fuck N/A N/A N/A 3.19
topic N/A N/A N/A 2.59
drawer 295.903485175 0.199043552527 0.7937 4.67
critic N/A N/A N/A 3.55
dropped N/A N/A N/A N/A
phrase N/A N/A N/A 2.86
occur N/A N/A N/A 1.84
pink N/A N/A N/A 3.93
winter N/A N/A N/A 3.84
sailboat 189.922327794 0.158738467579 0.74024 4.89
discussion N/A N/A N/A 3.07
dinner N/A N/A N/A 4.5
pine N/A N/A N/A 4.37
criterion N/A N/A N/A N/A
sword 299.2930766 0.207075815108 0.97829 4.93
elephant N/A N/A N/A 5
map N/A N/A N/A 4.93
mat N/A N/A N/A 4.83
staircase N/A N/A N/A 4.66
huge N/A N/A N/A 3.54
mac N/A N/A N/A N/A
birthday N/A N/A N/A 3.2
